rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction
203.5,2048,31.779999999999994,3,1,669,,,,,,,,,,
237.88235294117646,4096,15.323529411764707,7,2,560,8.201225280761719,0.0003,0.2,0.8324430584907532,4910,-0.019678793668572326,0.016893025,22.183518254756926,-0.7595123952254653,0.18447265625
254.375,6144,5.745833333333333,11,3,539,3.792005777359009,0.0003,0.2,0.8898857831954956,4920,-0.020141299880924633,0.019218806,17.889842134714126,-0.8648847801610827,0.18896484375
239.02941176470588,8192,9.261764705882353,15,4,528,6.038778781890869,0.0003,0.2,0.9151415228843689,4930,-0.01768732504133368,0.023293484,20.485243824124336,-0.891230459138751,0.2111328125
241.41463414634146,10240,9.002439024390245,19,5,517,13.810912132263184,0.0003,0.2,0.8725107312202454,4940,-0.021682268781296442,0.022310965,41.92811226248741,-0.7666218221187592,0.171630859375
248.10416666666666,12288,6.383333333333334,24,6,511,3.002227783203125,0.0003,0.2,0.9162521362304688,4950,-0.020821440301369877,0.020752475,22.32363896071911,-0.8952961944043636,0.198193359375
243.98275862068965,14336,9.281034482758622,28,7,495,3.06266188621521,0.0003,0.2,0.9357444643974304,4960,-0.01664008673396893,0.01825374,24.10307959616184,-0.9096014516428113,0.193115234375
253.65625,16384,4.659375000000001,33,8,483,12.555808067321777,0.0003,0.2,0.909844696521759,4970,-0.01965235108655179,0.010762687,40.332357904314996,-0.7602800782769918,0.1310546875
259.38028169014086,18432,0.6154929577464795,38,9,482,5.686260223388672,0.0003,0.2,0.930139422416687,4980,-0.02263809986616252,0.022197574,21.353272964060306,-0.9657134415581823,0.227734375
261.05128205128204,20480,0.13461538461538433,42,10,482,10.431455612182617,0.0003,0.2,0.9148018956184387,4990,-0.015696893837593963,0.028011106,30.727589927613735,-0.9333656098693609,0.19814453125
256.4942528735632,22528,3.093103448275861,46,11,482,10.633524894714355,0.0003,0.2,0.8436518907546997,5000,-0.016604775849555154,0.012233434,59.111282685399054,-0.8695634685456752,0.142138671875
260.5744680851064,24576,1.3351063829787233,51,12,474,57.41530990600586,0.0003,0.2,0.8400548696517944,5010,-0.020333193679107353,0.011824181,91.22112337350845,-0.80144656971097,0.126611328125
260.4,26624,1.6989999999999998,56,13,474,18.136180877685547,0.0003,0.2,0.9139771461486816,5020,-0.021911442650889512,0.017322792,40.932366979122165,-0.9019491950049996,0.19482421875
