rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates
23.637500000000003,614,2048,3,1,215.625,,,,,,,,,,
11.776470588235291,528,4096,7,2,239.11764705882354,0.0003,-0.7731774928048253,-0.024319557170383633,5.90740966796875,21.709969963133336,0.024854338,0.2,0.202734375,0.8385957479476929,4910
24.75357142857143,476,6144,12,3,217.64285714285714,0.0003,-0.810762406513095,-0.01702328987594228,2.7727301120758057,15.843621343374252,0.021441102,0.2,0.18427734375,0.8448991775512695,4920
28.134210526315787,427,8192,19,4,211.0,0.0003,-0.6671219392679631,-0.017431239773577543,13.42650032043457,24.938228508830072,0.013341226,0.2,0.13935546875,0.8876405954360962,4930
28.133333333333336,411,10240,24,5,213.125,0.0003,-0.7070010354742408,-0.0227713424283138,6.719394683837891,20.394198107719422,0.021371868,0.2,0.15654296875,0.9151839017868042,4940
27.11071428571429,409,12288,30,6,215.67857142857142,0.0003,-0.7856823341920972,-0.018473923447891137,8.310992240905762,23.480958084762097,0.016737055,0.2,0.18173828125,0.9058000445365906,4950
26.0469696969697,411,14336,34,7,215.0151515151515,0.0003,-0.8273476555943489,-0.026529792649671435,13.241423606872559,28.300456860661505,0.017241336,0.2,0.195556640625,0.9186151027679443,4960
29.771794871794874,411,16384,39,8,207.97435897435898,0.0003,-0.7644104730337858,-0.02162714960722951,6.986639976501465,24.32622309625149,0.019028705,0.2,0.161376953125,0.9068658947944641,4970
28.826744186046504,405,18432,45,9,209.6860465116279,0.0003,-0.6546013232320547,-0.02283372911042534,9.777592658996582,31.848957559466363,0.014386655,0.2,0.140576171875,0.857648491859436,4980
30.597979797979797,397,20480,51,10,206.55555555555554,0.0003,-0.8207032948732376,-0.020854390604654327,4.855595111846924,23.34374780654907,0.016130434,0.2,0.186376953125,0.8815870881080627,4990
36.754999999999995,388,22528,58,11,195.33,0.0003,-0.6454783879220486,-0.021525748289423063,12.684203147888184,27.351458579301834,0.018237662,0.2,0.1451171875,0.8900735974311829,5000
