time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss
36,-11.61,620,102.75,22528,11,100,0.127978515625,-0.06609630584716797,0.2,0.0139996065,0.0003,22.688705444335938,-1.2012894947081805,-0.012633544631535187,58.5915398478508
40,-8.393999999999998,607,97.39,24576,12,110,0.102490234375,0.02803856134414673,0.2,0.011065455,0.0003,24.307525634765625,-1.1921806007623672,-0.01252603275133879,70.18192894458771
43,-6.819,610,93.86,26624,13,120,0.116943359375,0.020162880420684814,0.2,0.0108819585,0.0003,20.863906860351562,-1.1691143095493317,-0.012802854836627376,51.81960620880127
46,-3.095,610,87.46,28672,14,130,0.141748046875,0.04171210527420044,0.2,0.013955377,0.0003,15.84203052520752,-1.1711793649941682,-0.012750913211493752,41.678259974718095
50,-3.6979999999999995,609,88.11,30720,15,140,0.156103515625,-0.12732255458831787,0.2,0.013109772,0.0003,14.802458763122559,-1.1541371803730727,-0.011926182765455451,40.25716269016266
56,-2.348,584,85.54,32768,16,150,0.118408203125,0.15308910608291626,0.2,0.011548588,0.0003,17.144332885742188,-1.1454021841287614,-0.00866821208910551,42.26045753955841
60,-4.073,580,88.36,34816,17,160,0.16953125,-0.060541510581970215,0.2,0.013847446,0.0003,12.895185470581055,-1.13029002584517,-0.013266839634161443,37.579274845123294
65,-3.378,560,85.92,36864,18,170,0.15068359375,0.1120501160621643,0.2,0.013132544,0.0003,13.011344909667969,-1.1271411314606667,-0.01257027731044218,32.62730310857296
70,-3.507999999999999,550,85.46,38912,19,180,0.124755859375,0.050451457500457764,0.2,0.014369985,0.0003,14.860223770141602,-1.1186588775366544,-0.006555112185014878,36.97610785961151
75,-4.3919999999999995,541,86.04,40960,20,190,0.164306640625,-0.10888910293579102,0.2,0.016577028,0.0003,16.1436710357666,-1.152447721362114,-0.007560810647555627,28.583211970329284
80,-3.779,533,84.97,43008,21,200,0.139208984375,-0.014132976531982422,0.2,0.013507527,0.0003,16.792171478271484,-1.1025098176673054,-0.013307912860182115,35.83402131795883
85,-4.153999999999999,526,86.55,45056,22,210,0.16533203125,0.10107052326202393,0.2,0.014448988,0.0003,13.887060165405273,-1.108247398212552,-0.014609025303070667,35.180192118883134
90,-3.875,521,85.59,47104,23,220,0.176025390625,-0.06293976306915283,0.2,0.013759928,0.0003,9.498029708862305,-1.0923272043466568,-0.010917405399959534,23.72961467206478
95,-2.7709999999999995,515,83.86,49152,24,230,0.121826171875,-0.10038936138153076,0.2,0.010842579,0.0003,8.11523151397705,-1.0915203779935836,-0.006061151971516665,20.54703383743763
100,-0.9259999999999999,510,80.14,51200,25,240,0.146240234375,0.1309853196144104,0.2,0.011755288,0.0003,9.521576881408691,-1.0601288828998805,-0.012999824688449735,23.174024754762648
105,-1.5339999999999998,506,81.0,53248,26,250,0.15341796875,0.32718873023986816,0.2,0.016868763,0.0003,9.430334091186523,-1.0537841567769646,-0.011295795439218636,25.567122611403466
109,0.1769999999999997,502,79.71,55296,27,260,0.17724609375,0.07725536823272705,0.2,0.013878878,0.0003,10.776891708374023,-1.0848029304295779,-0.012550694860692602,20.585531632602216
114,-1.0040000000000002,499,81.52,57344,28,270,0.124658203125,0.15793520212173462,0.2,0.010857958,0.0003,6.650786876678467,-1.0743728388100862,-0.008057207804813515,18.77099167704582
119,-4.148999999999999,495,85.85,59392,29,280,0.1611328125,0.16854530572891235,0.2,0.018481435,0.0003,8.805225372314453,-1.0749562857672572,-0.014757221458421555,22.99110180437565
124,-3.5979999999999994,492,85.02,61440,30,290,0.136083984375,0.3761565685272217,0.2,0.013221927,0.0003,9.042672157287598,-1.0256836567074061,-0.009690346992283595,27.918948581814767
129,-6.785000000000001,488,89.51,63488,31,300,0.135302734375,0.387664258480072,0.2,0.014685617,0.0003,17.98882484436035,-1.04225912746042,-0.01000138895760756,27.905232533812523
134,-6.078,486,87.48,65536,32,310,0.122412109375,0.07718193531036377,0.2,0.010950217,0.0003,9.963322639465332,-1.0545983860269188,-0.010989426659216405,29.92013273239136
139,-1.763,482,81.96,67584,33,320,0.129638671875,0.2419394850730896,0.2,0.018196821,0.0003,12.72684383392334,-1.0914541404694318,-0.010818338886019773,31.217902860045434
144,0.3579999999999997,480,78.42,69632,34,330,0.13798828125,0.20456743240356445,0.2,0.014481846,0.0003,10.751951217651367,-1.0528670512139797,-0.010125053292722442,24.95943205356598
149,3.423999999999999,478,73.03,71680,35,340,0.141845703125,0.12919098138809204,0.2,0.016345313,0.0003,4.655454158782959,-1.0843048520386218,-0.010154195614450145,18.37078177034855
154,2.9819999999999998,476,73.68,73728,36,350,0.12490234375,0.43496274948120117,0.2,0.012851277,0.0003,9.637113571166992,-1.0782445158809424,-0.007945543434470893,22.059397158026695
159,-0.7390000000000003,474,78.31,75776,37,360,0.16025390625,0.294902503490448,0.2,0.01260067,0.0003,9.52712345123291,-1.060853187739849,-0.015405093324079643,24.96875741779804
164,0.924,472,75.59,77824,38,370,0.134326171875,0.2925354838371277,0.2,0.016377078,0.0003,4.875290870666504,-1.0713046243414284,-0.01148902425338747,18.287870718538763
169,2.8450000000000006,471,72.83,79872,39,380,0.112939453125,0.34625500440597534,0.2,0.010617198,0.0003,6.817643165588379,-1.0258254772052169,-0.006366832001367584,22.627343609929085
174,7.834,469,66.06,81920,40,390,0.14208984375,0.30959993600845337,0.2,0.013342763,0.0003,7.097399711608887,-1.0101691827178,-0.01196744917833712,20.894125762581826
179,5.862,467,68.47,83968,41,400,0.12744140625,0.5223480463027954,0.2,0.0144701805,0.0003,7.913235187530518,-0.989376949891448,-0.013474492252862546,26.19409226179123
184,5.468999999999999,466,69.61,86016,42,410,0.14599609375,0.3329729437828064,0.2,0.013093465,0.0003,7.102371692657471,-1.004376139305532,-0.012323769192153122,16.631297758221628
189,1.585,465,75.18,88064,43,420,0.15439453125,0.4482961893081665,0.2,0.011537294,0.0003,6.912069797515869,-1.0311701957136392,-0.013572139607276767,23.092509487271307
193,-0.790999999999999,464,78.86,90112,44,430,0.14697265625,0.29080116748809814,0.2,0.016702604,0.0003,4.679261684417725,-1.0180230930447578,-0.010071629875164944,19.3636250808835
198,-4.409000000000001,464,84.46,92160,45,440,0.155908203125,0.21233618259429932,0.2,0.013676185,0.0003,6.609798908233643,-0.9966060923412442,-0.01234276159084402,20.707679769396783
202,-6.092000000000001,465,86.35,94208,46,450,0.124365234375,0.3521915078163147,0.2,0.01234163,0.0003,9.858288764953613,-1.0189045581966638,-0.00956103022035677,21.820937180519103
206,-6.283999999999999,466,86.02,96256,47,460,0.1126953125,0.21777909994125366,0.2,0.011225423,0.0003,7.112421989440918,-0.9645127303898334,-0.008292872273887041,24.561129850149154
209,-4.093,469,82.71,98304,48,470,0.1009765625,0.3969687819480896,0.2,0.012046181,0.0003,9.31237506866455,-0.9660272406414151,-0.006333692898624577,25.459159725904463
212,-0.2179999999999995,471,77.24,100352,49,480,0.1224609375,0.3711419105529785,0.2,0.012542913,0.0003,8.331592559814453,-0.9604876590892673,-0.012302094871120061,22.58006385266781
216,-0.0630000000000015,473,77.69,102400,50,490,0.153857421875,0.3707277178764343,0.2,0.01501748,0.0003,6.110177040100098,-0.9988813912495971,-0.013496319005207624,20.393733268976213
219,-1.9749999999999992,476,79.52,104448,51,500,0.16328125,0.3003295063972473,0.2,0.013197589,0.0003,4.33283805847168,-1.030020429752767,-0.01123882334213704,13.595655408501624
222,-2.4000000000000004,478,80.22,106496,52,510,0.15439453125,0.39331191778182983,0.2,0.016341656,0.0003,4.810880661010742,-1.0171519668772817,-0.013596371545281727,16.210534611344336
225,-1.6720000000000002,481,79.48,108544,53,520,0.121533203125,0.37691032886505127,0.2,0.013912201,0.0003,10.289521217346191,-1.0368832375854253,-0.010624546905455645,21.977328649163248
228,-0.6980000000000001,483,77.83,110592,54,530,0.1615234375,0.33356142044067383,0.2,0.013151977,0.0003,10.87643814086914,-0.9974325392395258,-0.016528955067042262,22.676108327507972
233,2.447,483,73.87,112640,55,540,0.177490234375,0.35797005891799927,0.2,0.02346725,0.0003,6.526650905609131,-1.0525583814829589,-0.01919994117342867,20.374118185043336
236,3.730999999999999,485,71.46,114688,56,550,0.1142578125,0.17804086208343506,0.2,0.011019917,0.0003,7.162028789520264,-1.0218682371079921,-0.01335963057645131,24.078264525532724
239,2.9339999999999997,487,73.16,116736,57,560,0.1546875,0.4302499294281006,0.2,0.013984277,0.0003,7.771697044372559,-0.9683605758473277,-0.016070464880613144,22.548751068115234
243,0.5719999999999995,488,76.75,118784,58,570,0.0986328125,0.5251033306121826,0.2,0.009173309,0.0003,10.022457122802734,-0.9994175311177969,-0.008883010670251679,24.64584290385246
246,2.128000000000001,490,74.77,120832,59,580,0.131982421875,0.4263368844985962,0.2,0.012925451,0.0003,9.828847885131836,-0.9955434767529369,-0.012998498253000434,27.627489966154098
249,1.075,492,76.8,122880,60,590,0.13740234375,0.32950806617736816,0.2,0.013146129,0.0003,7.436138153076172,-0.9556480327621102,-0.014553668911685236,26.992857968807222
252,3.603,494,72.1,124928,61,600,0.14462890625,0.2845284342765808,0.2,0.017012607,0.0003,7.392536163330078,-0.9792141053825617,-0.010003581576165743,21.48791024982929
255,-0.08800000000000015,496,77.91,126976,62,610,0.156396484375,0.332191526889801,0.2,0.02083221,0.0003,7.2298784255981445,-0.9811342714354396,-0.015416723817179446,22.01159800887108
259,1.7880000000000011,498,75.38,129024,63,620,0.171923828125,0.49223804473876953,0.2,0.014499169,0.0003,11.753595352172852,-1.0715364154428244,-0.01295619181037182,20.41849907785654
262,0.005000000000000533,499,77.68,131072,64,630,0.14873046875,0.18186825513839722,0.2,0.013786758,0.0003,6.246250629425049,-0.9790183331817388,-0.012780712904350367,25.77327245771885
265,-2.984,501,81.9,133120,65,640,0.1734375,0.33960455656051636,0.2,0.018710304,0.0003,10.123088836669922,-1.0148682914674283,-0.01830058103369083,26.97990115880966
268,1.9290000000000007,502,73.31,135168,66,650,0.19970703125,0.042845308780670166,0.2,0.020849194,0.0003,9.582388877868652,-0.982104335166514,-0.021844040049472824,22.74127815961838
272,2.6590000000000007,503,72.85,137216,67,660,0.141650390625,0.3868017792701721,0.2,0.013337253,0.0003,6.540099620819092,-0.9284118736162782,-0.01589662593032699,17.157535296678542
275,5.205,505,69.65,139264,68,670,0.151123046875,0.21335315704345703,0.2,0.0163912,0.0003,6.420773029327393,-0.9454830901697278,-0.011834968655603007,18.60741087794304
278,7.100999999999999,506,67.27,141312,69,680,0.146533203125,0.1883997917175293,0.2,0.016860584,0.0003,9.801273345947266,-0.9620277995243669,-0.01820730032341089,18.67005170583725
282,2.4729999999999994,508,75.38,143360,70,690,0.14814453125,0.33093416690826416,0.2,0.014020863,0.0003,8.048434257507324,-0.9944689882919192,-0.01841898021666566,19.128459310531618
285,5.106999999999999,509,70.72,145408,71,700,0.127197265625,0.4502071142196655,0.2,0.010365773,0.0003,7.431767463684082,-1.0365383699536324,-0.009862743501435034,23.55734920501709
288,3.5460000000000003,510,73.1,147456,72,710,0.14951171875,0.39398956298828125,0.2,0.017094996,0.0003,7.474632740020752,-0.9677032548934221,-0.01691786027076887,27.90299744606018
291,4.811000000000001,512,71.55,149504,73,720,0.12802734375,0.39565664529800415,0.2,0.012738256,0.0003,7.158472061157227,-0.955069737136364,-0.012249790233909152,23.457882329821587
295,8.021,513,65.93,151552,74,730,0.13427734375,0.3639664649963379,0.2,0.014688229,0.0003,6.708172798156738,-0.982346716709435,-0.014371587421919685,21.696248108148573
298,11.087,514,60.74,153600,75,740,0.13447265625,0.4072922468185425,0.2,0.013212069,0.0003,10.542555809020996,-0.967098830640316,-0.016701033823483157,22.6199240475893
301,12.049,515,58.67,155648,76,750,0.123779296875,0.37302684783935547,0.2,0.011849621,0.0003,8.576408386230469,-0.9192568734288216,-0.011427828886371571,20.503583922982216
305,7.452000000000002,516,65.98,157696,77,760,0.17431640625,0.3938930034637451,0.2,0.018964283,0.0003,5.145298480987549,-1.0140689861029386,-0.020969526609405875,16.166193014383317
308,5.858,518,67.57,159744,78,770,0.14697265625,0.5389326810836792,0.2,0.014069966,0.0003,9.357038497924805,-0.9994483897462487,-0.01415654040465597,22.099473571777345
311,8.017999999999999,519,63.75,161792,79,780,0.150146484375,0.3781336545944214,0.2,0.01162016,0.0003,7.157380104064941,-0.9387784959748388,-0.015529377908387687,19.77551148682833
314,6.712000000000001,520,66.51,163840,80,790,0.16201171875,0.2765076756477356,0.2,0.017328344,0.0003,7.371735095977783,-0.9066865809261799,-0.02198631442443002,18.61145058274269
317,8.508,521,62.98,165888,81,800,0.154931640625,0.4180788993835449,0.2,0.019991482,0.0003,8.153938293457031,-0.9939116625115275,-0.014546072793018538,16.896262453496455
321,5.207999999999999,522,69.48,167936,82,810,0.1392578125,0.2817186117172241,0.2,0.014706187,0.0003,3.464944362640381,-0.9381884640082717,-0.011754510643368122,14.852773705124855
324,7.0299999999999985,523,67.12,169984,83,820,0.1490234375,0.572227954864502,0.2,0.016344637,0.0003,5.86527681350708,-0.9773484652861952,-0.015203404558997135,18.310647532343864
327,8.378999999999998,524,65.5,172032,84,830,0.12822265625,0.5367391109466553,0.2,0.011705304,0.0003,14.075806617736816,-0.9824348706752062,-0.012152444804087281,26.395987021923066
331,7.167999999999998,525,66.8,174080,85,840,0.1255859375,0.5578506588935852,0.2,0.012356546,0.0003,9.480932235717773,-0.9422497918829322,-0.012660404996131547,22.37033322751522
334,7.835,526,65.85,176128,86,850,0.1494140625,0.6362146735191345,0.2,0.013506155,0.0003,6.557404518127441,-0.9979263080284,-0.011270151800999884,25.196711346507072
337,6.751,527,67.62,178176,87,860,0.14208984375,0.3860548734664917,0.2,0.021497477,0.0003,7.590263843536377,-0.9596040697768331,-0.015327727081603371,24.833730408549307
340,8.539,528,64.54,180224,88,870,0.145166015625,0.5123859643936157,0.2,0.013969621,0.0003,9.77707576751709,-0.9832445630803704,-0.01741631025215611,24.16511172056198
344,10.02,529,61.28,182272,89,880,0.16025390625,0.5746891498565674,0.2,0.014073832,0.0003,9.04039478302002,-0.9378225376829505,-0.014117073913803324,20.62967988550663
347,11.554000000000004,530,59.09,184320,90,890,0.140576171875,0.6293351650238037,0.2,0.013897153,0.0003,9.773258209228516,-0.9407320914790034,-0.01729861238854937,22.712690880894662
350,9.426,531,61.77,186368,91,900,0.1224609375,0.5161189436912537,0.2,0.011758778,0.0003,12.598031044006348,-0.9310394991189241,-0.015102597173245158,27.8311990827322
353,8.940999999999999,532,62.11,188416,92,910,0.14443359375,0.48550260066986084,0.2,0.014224556,0.0003,3.7714600563049316,-0.9963465658947825,-0.016512740725011098,21.145084741711617
357,5.617999999999999,533,67.53,190464,93,920,0.161328125,0.43873482942581177,0.2,0.016804982,0.0003,6.114117622375488,-0.9609856314957141,-0.012849634821759538,16.84275810420513
360,6.781999999999999,533,65.72,192512,94,930,0.179638671875,0.5694807767868042,0.2,0.015618997,0.0003,5.688376426696777,-0.9965601433068514,-0.015862858739274087,18.556253857910633
363,8.253,534,64.51,194560,95,940,0.150146484375,0.5648683309555054,0.2,0.015604528,0.0003,16.029062271118164,-0.9392372002825141,-0.01813206352235284,24.682321611046792
367,10.928000000000003,535,60.04,196608,96,950,0.12080078125,0.4330630898475647,0.2,0.013762342,0.0003,10.211153030395508,-0.8976318188011646,-0.014127964385261293,22.81660884320736
370,8.406,536,64.03,198656,97,960,0.135693359375,0.6225714683532715,0.2,0.012914594,0.0003,7.778170108795166,-0.9422060418874025,-0.01417532159757684,19.165158304572106
373,3.706000000000001,537,70.39,200704,98,970,0.16279296875,0.6158288717269897,0.2,0.01600296,0.0003,10.937704086303711,-1.0053734404966235,-0.015574166653095745,20.988976380228998
376,4.047000000000001,538,69.98,202752,99,980,0.1494140625,0.45070570707321167,0.2,0.0148267,0.0003,4.295244216918945,-1.032112787105143,-0.015015959099400789,17.655707792937754
