time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/loss,train/entropy_loss
2,2048,829,186.4,-52.57000000000001,1,,,,,,,,,,
5,4096,713,176.30434782608697,-51.23913043478261,2,0.0015461444854736328,-0.01434390940121375,0.2,0.0003,10,0.011240789,11.824089504778385,0.11416015625,6.538877010345459,-1.3778207905590534
8,6144,708,178.1764705882353,-52.152941176470584,3,0.10392624139785767,-0.010039605886413483,0.2,0.0003,20,0.010316908,19.241171203553677,0.08955078125,6.675008296966553,-1.362031514942646
12,8192,665,166.53061224489795,-44.61224489795919,4,0.08615684509277344,-0.015113305371778551,0.2,0.0003,30,0.014928274,24.757514452934267,0.15810546875,6.635572910308838,-1.3515389643609523
