time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/explained_variance
193,733.7179487179487,138.32307692307694,14,28672,147,7.489347010105848,0.0003,14810,-0.5775113424286247,0.2,-0.011256202106596901,1.3386646509170532,0.02132972,0.172802734375,0.9959110617637634
208,736.9512195121952,136.85609756097563,15,30720,147,7.647926509007812,0.0003,14820,-0.7439602229744195,0.2,-0.01967990620614728,1.9970543384552002,0.02129484,0.17998046875,0.9969069957733154
225,737.0227272727273,137.56363636363636,16,32768,145,7.913188514858485,0.0003,14830,-0.6328350659459829,0.2,-0.01549084767466411,2.328864336013794,0.016645767,0.121484375,0.996708869934082
245,739.7608695652174,136.2195652173913,17,34816,141,30.987024660408498,0.0003,14840,-0.6050793888047338,0.2,-0.012889426892070333,25.392770767211914,0.011860803,0.126708984375,0.9937686920166016
262,743.4489795918367,133.5857142857143,18,36864,140,9.465306355059147,0.0003,14850,-0.738632476888597,0.2,-0.017050849727820606,2.4172778129577637,0.01986874,0.17314453125,0.9971194267272949
278,746.7115384615385,132.075,19,38912,139,7.162918224185705,0.0003,14860,-0.6272931212559343,0.2,-0.016348184070375284,2.143462657928467,0.01842525,0.166943359375,0.9982184171676636
294,748.6851851851852,131.1222222222222,20,40960,139,7.195461881160736,0.0003,14870,-0.764262992888689,0.2,-0.01654144981002901,1.0602480173110962,0.014497647,0.141748046875,0.9983360767364502
306,751.3859649122807,129.90526315789475,21,43008,140,6.722284300625324,0.0003,14880,-0.6735341067425906,0.2,-0.01575868436775636,1.7232393026351929,0.012127187,0.156396484375,0.9985496401786804
318,753.0338983050848,128.75084745762715,22,45056,141,5.840081842988729,0.0003,14890,-0.7057439079508185,0.2,-0.013020129504729994,1.1803085803985596,0.017870605,0.165380859375,0.9988594651222229
329,755.3064516129032,126.10161290322581,23,47104,142,5.699582385644317,0.0003,14900,-0.7525067010894417,0.2,-0.017474478420626837,1.549129605293274,0.017949665,0.1595703125,0.9986167550086975
341,756.703125,125.26250000000002,24,49152,143,7.191633439809084,0.0003,14910,-0.6834502506069839,0.2,-0.013482757921156007,2.1747264862060547,0.0136602335,0.117919921875,0.9986274242401123
353,758.6417910447761,124.00000000000003,25,51200,144,4.485112429410219,0.0003,14920,-0.775707733631134,0.2,-0.011987715677241795,0.9159402847290039,0.019503418,0.149462890625,0.9991840124130249
365,760.4142857142857,123.12428571428575,26,53248,145,5.508280891180038,0.0003,14930,-0.6472684375010431,0.2,-0.016496816837752705,1.68208646774292,0.0119466875,0.126171875,0.9989110827445984
377,761.5138888888889,122.55277777777779,27,55296,146,5.180756294727326,0.0003,14940,-0.8057928578928113,0.2,-0.013831946083519142,1.054147481918335,0.018393103,0.174853515625,0.9991565942764282
390,763.0533333333333,121.93200000000002,28,57344,146,5.147599596530199,0.0003,14950,-0.640203717071563,0.2,-0.015312101993185934,2.3641114234924316,0.021168618,0.141357421875,0.9992042183876038
404,764.012987012987,121.23636363636365,29,59392,146,3.7464695109054444,0.0003,14960,-0.7543346930295229,0.2,-0.017412090150173753,0.8292344808578491,0.020744946,0.17646484375,0.999381959438324
425,765.3625,120.19875000000002,30,61440,144,4.164746121689677,0.0003,14970,-0.7215176437050104,0.2,-0.015115668320504483,0.8544290065765381,0.0171122,0.1498046875,0.9992087483406067
441,766.2073170731708,120.01097560975612,31,63488,143,4.458435637131333,0.0003,14980,-0.7373543940484524,0.2,-0.013147333872620948,1.3655678033828735,0.009573002,0.127685546875,0.9993491172790527
454,767.4,115.94352941176473,32,65536,144,4.786007291078567,0.0003,14990,-0.8582176499068737,0.2,-0.02243349821656011,0.7613939046859741,0.017274754,0.19287109375,0.9989864826202393
469,768.1494252873563,113.80804597701153,33,67584,144,5.008077227696776,0.0003,15000,-0.7546025421470404,0.2,-0.015554423132562079,0.9380506277084351,0.013635667,0.165478515625,0.9990317821502686
487,769.2111111111111,113.02444444444447,34,69632,142,6.2995263986289505,0.0003,15010,-0.7561799410730601,0.2,-0.01880733634752687,2.0650179386138916,0.017253973,0.199560546875,0.9983081817626953
500,770.2043010752689,112.40752688172047,35,71680,143,4.909453812614084,0.0003,15020,-0.6511943473480641,0.2,-0.013824998713971581,1.20755934715271,0.014339175,0.11396484375,0.9991329312324524
517,770.8315789473684,112.44000000000003,36,73728,142,4.129596616327762,0.0003,15030,-0.7704747656360269,0.2,-0.018432992095767986,1.1480281352996826,0.02279116,0.171875,0.9992548823356628
536,771.7244897959183,112.48877551020408,37,75776,141,4.292320223897695,0.0003,15040,-0.646503411885351,0.2,-0.015287708406685852,1.4023288488388062,0.011803862,0.12978515625,0.9992578625679016
551,772.29,111.78,38,77824,141,3.3350710947066546,0.0003,15050,-0.7525449506938457,0.2,-0.01628987024159869,1.1499497890472412,0.02073679,0.167724609375,0.9994866847991943
594,774.41,110.55599999999997,39,79872,134,4.96834826618433,0.0003,15060,-0.7220470188185573,0.2,-0.01625466654950287,1.3056007623672485,0.014028335,0.191650390625,0.9984779953956604
656,777.53,108.517,40,81920,124,4.250744285807014,0.0003,15070,-0.6953476021066308,0.2,-0.01957291415455984,1.3897258043289185,0.015854241,0.16533203125,0.9993538856506348
668,780.89,106.16999999999996,41,83968,125,3.7216950125992296,0.0003,15080,-0.781808878108859,0.2,-0.01906371606310131,1.700202226638794,0.02044821,0.19814453125,0.9991247057914734
681,786.5,103.24199999999999,42,86016,126,4.066053614020348,0.0003,15090,-0.7214541224762797,0.2,-0.024138622367172503,1.486694097518921,0.02173899,0.189501953125,0.9993710517883301
694,787.63,102.43699999999998,43,88064,126,3.629255849868059,0.0003,15100,-0.754262688010931,0.2,-0.014701630908530206,0.9601932764053345,0.021492321,0.163916015625,0.9993094205856323
706,787.63,102.22,44,90112,127,3.7786977980285883,0.0003,15110,-0.6910973144695163,0.2,-0.018480130488751457,0.8839868307113647,0.015300658,0.15537109375,0.9993876218795776
718,789.88,100.699,45,92160,128,3.5346892677247523,0.0003,15120,-0.7977901477366686,0.2,-0.01893470018549124,0.6511284112930298,0.021959301,0.184765625,0.9993466138839722
730,793.8,100.505,46,94208,129,3.7760504271835087,0.0003,15130,-0.727663548476994,0.2,-0.018964033223164735,0.941753625869751,0.018477986,0.1634765625,0.9993504285812378
742,795.99,99.32900000000001,47,96256,129,2.740193927846849,0.0003,15140,-0.7733568476513029,0.2,-0.024061771614651662,0.6327291131019592,0.019039307,0.192236328125,0.9995710253715515
754,796.45,99.01000000000002,48,98304,130,3.2272849772125483,0.0003,15150,-0.7452873678877949,0.2,-0.019398220993753056,1.2143908739089966,0.016572952,0.172314453125,0.9995056390762329
766,796.45,98.81500000000001,49,100352,130,3.0331733874976634,0.0003,15160,-0.7300426315516233,0.2,-0.023706977581605317,0.5793719291687012,0.023500722,0.17041015625,0.9995568990707397
779,798.14,96.931,50,102400,131,2.7478549029678105,0.0003,15170,-0.8282643018290401,0.2,-0.01937064253288554,0.907280683517456,0.02122197,0.1880859375,0.9993410110473633
792,798.14,97.279,51,104448,131,3.395825703442097,0.0003,15180,-0.6806281495839357,0.2,-0.020866399035730863,1.2327907085418701,0.018796634,0.145458984375,0.9994684457778931
804,798.14,97.70300000000003,52,106496,132,2.8151532540097834,0.0003,15190,-0.8212410774081945,0.2,-0.026688006674521602,0.8294517993927002,0.018377606,0.191650390625,0.9994539618492126
817,798.14,98.127,53,108544,132,3.6676550757139923,0.0003,15200,-0.6755307934246957,0.2,-0.020018473206437192,1.0358840227127075,0.017036606,0.120166015625,0.9994117617607117
829,798.14,98.12899999999998,54,110592,133,2.7562302399426697,0.0003,15210,-0.7920364772900939,0.2,-0.02025941666943254,1.1543102264404297,0.017917477,0.15849609375,0.9996389150619507
842,800.0,96.97099999999999,55,112640,133,2.869282075017691,0.0003,15220,-0.7410877779126167,0.2,-0.0230478942670743,0.8247864246368408,0.020678347,0.195849609375,0.9995967745780945
854,800.0,96.942,56,114688,134,2.677372000366449,0.0003,15230,-0.7465076945722103,0.2,-0.02049504004389746,0.6334143280982971,0.019420914,0.1576171875,0.9996181726455688
867,800.0,97.147,57,116736,134,2.004251014813781,0.0003,15240,-0.7582020286470652,0.2,-0.024137524914112873,0.5816053748130798,0.025588823,0.181103515625,0.9996105432510376
880,800.0,96.43699999999998,58,118784,134,2.423493304848671,0.0003,15250,-0.7102516904473305,0.2,-0.022195402295619716,0.8732718229293823,0.017762754,0.151611328125,0.9997110962867737
893,800.0,96.353,59,120832,135,2.503649898804724,0.0003,15260,-0.8159594506025314,0.2,-0.02446002498472808,0.6265516877174377,0.019468531,0.195751953125,0.9994899034500122
908,800.0,96.55500000000002,60,122880,135,2.991382619738579,0.0003,15270,-0.6628411997109651,0.2,-0.02059444583574077,1.3721859455108643,0.017543498,0.167822265625,0.9994893670082092
924,800.0,96.70700000000001,61,124928,135,2.925551623106003,0.0003,15280,-0.7850714717060328,0.2,-0.018874764896463603,0.6035245656967163,0.02007936,0.1873046875,0.999513566493988
939,799.9,97.91499999999998,62,126976,135,2.993783031590283,0.0003,15290,-0.7078503526747226,0.2,-0.020587658591102807,0.6984419822692871,0.016379979,0.172607421875,0.9992318153381348
955,799.9,98.111,63,129024,135,195.5306976914406,0.0003,15300,-0.7669283797964453,0.2,-0.009294583051814697,10.622337341308594,0.010226307,0.11201171875,0.9758324027061462
970,799.9,98.486,64,131072,135,3.3222287852317094,0.0003,15310,-0.7716235479339957,0.2,-0.0242667607133626,0.7726624608039856,0.027304579,0.1994140625,0.9992009401321411
985,799.9,98.671,65,133120,135,4.0717029690742494,0.0003,15320,-0.746425180695951,0.2,-0.022974279813206523,0.9993173480033875,0.017067373,0.159716796875,0.9992685914039612
1001,799.22,99.387,66,135168,135,3.527034644037485,0.0003,15330,-0.8010375095531345,0.2,-0.02459255085705081,0.8109564781188965,0.022280928,0.18603515625,0.9991763830184937
